Product URL,Product Name,Price (RUB),Rating
https://goldapple.ru/19000225178-santal-basmati,Affinessence: SANTAL-BASMATI,10783,4.2
https://goldapple.ru/26802500001-gentle-fluidity-silver,Maison Francis Kurkdjian: Gentle Fluidity Silver,22000,4.9
https://goldapple.ru/19760300432-003-yuzu-feuilles-de-violette-vetiver,"Bon Parfumeur Paris!: 003 – yuzu, feuilles de violette, vétiver",3217,4.7
https://goldapple.ru/19000127038-love-chopard,CHOPARD: Love Chopard,4026,4.6
https://goldapple.ru/19000152688-isla-paradis,LE PARFUM FRANCAIS: ISLA PARADIS,750,4.2
https://goldapple.ru/19000072326-bougie-harmonisante,PAYOT: Bougie harmonisante,2080,4
https://goldapple.ru/19000164103-soft-cuddle,MiSS KAY.: Soft cuddle,891,4.3
https://goldapple.ru/19000121031-soul-of-my-soul,Etat Libre d’Orange: SOUL OF MY SOUL,20805,None
https://goldapple.ru/83810100015-forever-now,MIN NEW YORK: FOREVER NOW,18900,5
https://goldapple.ru/83670100001-secret-of-success,State Of Mind: Secret of Success,18772,4.9
https://goldapple.ru/7430900005-versense,Versace: Versense,9136,4.8
https://goldapple.ru/19000182821-stile-classic-aramara,Culti Milano: Stile Classic Aramara,15656,None
https://goldapple.ru/19000117794-theria,Le Couvent: Theria,1530,4.7
https://goldapple.ru/19000136346-05,RHIZOME: 05,5045,4.6
https://goldapple.ru/83670100011-french-gallantry,State Of Mind: French Gallantry,16269,5
https://goldapple.ru/19000174050-white-22-cm-5-mm,"VENEW: white 22 cm, 5 mm",1250,None
https://goldapple.ru/19000148362-divine-vanille,ESSENTIAL PARFUMS PARIS: Divine Vanille,7763,3.8
https://goldapple.ru/19000004549-perfume-vanilla-blend,Zielinski & Rozen: Black vanilla,2200,4.6
https://goldapple.ru/19000035771-cologne-cedrat,MATIERE PREMIERE: COLOGNE CEDRAT,27157,4.5
https://goldapple.ru/19000051623-omizu-for-her,ANNAYAKE perfume: OMIZU FOR HER,4515,4.7
https://goldapple.ru/19000200199-blond-redhead-16-11,Neydo: Blond redhead 16.11,4680,4.7
https://goldapple.ru/19000173787-une-nuit-d-ete-sous-le-figuier,Rose et Marius: Une nuit d'été sous le figuier,2652,4.1
https://goldapple.ru/19000159606-pocket-atomizer,FOR ME by gold apple: Pocket atomizer,540,4.5
https://goldapple.ru/19000152689-aqua-viva,LE PARFUM FRANCAIS: AQUA VIVA,750,4.5
https://goldapple.ru/80130500001-in-red,Armand Basi: In RED,5650,4.5
https://goldapple.ru/19000215482,TUMI: Continuum 12:00 gmt,7490,4.5
https://goldapple.ru/7430800003-pour-homme,Versace: Pour Homme,8051,4.8
https://goldapple.ru/19000006162-grassland,BANANA REPUBLIC: GRASSLAND,3490,4.4
https://goldapple.ru/19000196134-peonia,WALLY 1925: Peonia,6315,None
https://goldapple.ru/19000153563-sensoriel-spicydelice,J.U.S Joyau Unique & Sensoriel: Sensoriel Spicydelice,7850,3
https://goldapple.ru/19000225962-nolo,Alfred ritchy: Nolo,7645,4.8
https://goldapple.ru/19000060263-apple-lotus,Zielinski & Rozen: apple & lotus,2200,4.5
https://goldapple.ru/19000026658-blanche-bete,Liquides Imaginaires: BLANCHE BÊTE,20047,4.9
https://goldapple.ru/26802200003-globe-trotter-gold-edition,Maison Francis Kurkdjian: Globe Trotter Gold edition,13000,None
https://goldapple.ru/19000063327-basilica,MILANO FRAGRANZE: Basilica,8489,5
https://goldapple.ru/19760300399-203-framboise-vanille-mure,"Bon Parfumeur Paris!: 203 – framboise, vanille, mûre",2970,4.7
https://goldapple.ru/19000239408-cry-baby,Lera Nena Atelier Parfumes: CRY-BABY,7490,5
https://goldapple.ru/19000109015-freesia,SOLINOTES: FREESIA,1462,4.4
https://goldapple.ru/19000213766-solution-no-2,Off-White: Solution no. 2,6900,4.5
https://goldapple.ru/19000191220-leather-lily,Mark Buxton: leather & lily,3850,None
https://goldapple.ru/19000136063-fig-infusion,ESSENTIAL PARFUMS PARIS: Fig infusion,4061,5
https://goldapple.ru/19000259894-summertime-in-paris,Sample 32: Summertime In paris,2500,None
https://goldapple.ru/19000061648-eau-de-cedar-for-him,ICEBERG: EAU CEDAR,1565,4.6
https://goldapple.ru/19000178407-man-s-roots,Ynepsie: MAN'S ROOTS,2800,4.6
https://goldapple.ru/19000121291-bloom,THE WOODS COLLECTION: Bloom,9067,4.7
https://goldapple.ru/19000240976-toy-2-pearl,Moschino: Toy 2 Pearl,5950,4.8
https://goldapple.ru/83810100017-voodoo,MIN NEW YORK: VOODOO,18900,5
https://goldapple.ru/80280200013-man-in-black,Bvlgari: Man in Black,5910,4.9
https://goldapple.ru/19000153554-sensoriel-gingerlise,J.U.S Joyau Unique & Sensoriel: Sensoriel Gingerlise,7850,2
https://goldapple.ru/19000161476-11-11-the-energy-frequency,FreeShape: 11:11 The Energy Frequency,14640,4.6
https://goldapple.ru/19000004553-black-pepper-amber-neroli,"Zielinski & Rozen: Black Pepper, Vetiver, Neroli, Amber",2200,4.7
https://goldapple.ru/19000200195-where-love-belongs-22-07,Neydo: Where love belongs 22.07,4680,4
https://goldapple.ru/19000181681-vip-piege,Emmanuelle Jane: VIP PIEGE,9810,None
https://goldapple.ru/26290700010-narciso-poudree,Narciso Rodriguez: Narciso Poudree,5622,4.5
https://goldapple.ru/19000136060-the-musc-by-calice-becker,ESSENTIAL PARFUMS PARIS: THE MUSC by Calice Becker,4061,5
https://goldapple.ru/19000220506-sans-voir,Mind Games: SANS VOIR,22995,5
https://goldapple.ru/19000196105-ambra-nera,WALLY 1925: Ambra Nera,18225,None
https://goldapple.ru/83810100005-momento,MIN NEW YORK: MOMENTO,20250,5
https://goldapple.ru/19000213770-solution-no-4,Off-White: Solution no. 4,6900,5
https://goldapple.ru/19000121299-opal,SIGNATURE BY SILLAGE DORIENT: Opal,15000,5
https://goldapple.ru/19000121297-onyx,SIGNATURE BY SILLAGE DORIENT: Onyx,16875,4.8
https://goldapple.ru/19000215475,TUMI: Awaken 08:00 gmt,7490,4.7
https://goldapple.ru/19000238659-spontaneous-generosity,State Of Mind: Spontaneous Generosity,16269,5
https://goldapple.ru/19000196101-agrumi-di-boboli,WALLY 1925: Agrumi di Boboli,6687,4
https://goldapple.ru/19000009352-exquise-tentation,L'atelier parfum: EXQUISE TENTATION,4251,4.9
https://goldapple.ru/19000153558-sensoriel-superfusion,J.U.S Joyau Unique & Sensoriel: Sensoriel Superfusion,7850,4.5
https://goldapple.ru/19000215486,TUMI: Atlas 00:00 gmt,5530,None
https://goldapple.ru/19000173782-une-escale-dans-les-calanques,Rose et Marius: Une escale dans les calanques,6810,4.5
https://goldapple.ru/19000182829-stile-classic-mediterranea,Culti Milano: Stile Classic Mediterranea,14832,None
https://goldapple.ru/28330100005-no-4-apres-l-amour,THOMAS KOSMALA: № 4 Après l'Amour,16927,4.4
https://goldapple.ru/19000178409-ambre-magnetic,Ynepsie: AMBRE MAGNETIC,2800,4.8
https://goldapple.ru/19000212086-lp02,Le persona: LP02,1800,4.3
https://goldapple.ru/19000178403-chypre-cosmic,Ynepsie: CHYPRE COSMIC,2800,5
https://goldapple.ru/19000191526-magnolia-bouquet,CHOPARD: Magnolia bouquet,9999,4.6
https://goldapple.ru/19000215481,TUMI: Unwind 20:00 gmt,9128,None
https://goldapple.ru/19000147840-herbier,PAYOT: HERBIER,2275,3
https://goldapple.ru/19000127066-change-the-flow,ICEBERG: CHANGE THE FLOW,2125,4.6
